date,return
2005/11/15,-0.492891436
2005/11/16,1.016905557
2005/11/17,0.011595485
2005/11/18,2.736749452
2005/11/21,-0.745002527
2005/11/22,-1.864547333
2005/11/23,1.378883843
2005/11/24,1.581299271
2005/11/25,1.474641063
2005/11/28,-0.829057657
2005/11/29,-0.373885268
2005/11/30,1.907332985
2005/12/1,-0.089478267
2005/12/2,0.279634852
2005/12/5,-1.098406405
2005/12/6,1.844430799
2005/12/7,0.733146345
2005/12/8,-0.54998436
2005/12/9,2.410651738
2005/12/12,-0.238393708
2005/12/13,-0.12866485
2005/12/14,1.845998746
2005/12/15,-0.520534546
2005/12/16,-0.527299441
2005/12/19,-0.253616044
2005/12/20,1.493546957
2005/12/21,-0.040333837
2005/12/22,0.395552239
2005/12/23,0.360166448
2005/12/26,0.745168067
2005/12/27,-1.024051422
2005/12/28,-0.321359014
2005/12/29,0.690715511
2005/12/30,-0.587888754
2006/1/4,5.931692286
2006/1/5,1.752455776
2006/1/6,1.28864104
2006/1/9,-0.815815475
2006/1/10,1.141547831
2006/1/11,-0.936292339
2006/1/12,0.363269326
2006/1/13,-1.354882322
2006/1/16,-2.234484815
2006/1/17,0.807651684
2006/1/18,2.617276286
2006/1/19,0.534815258
2006/1/20,-0.327618317
2006/1/23,0.572977633
2006/1/24,0.185302652
2006/1/25,1.981511393
2006/2/6,1.621815398
2006/2/7,-1.677973958
2006/2/8,0.184437109
2006/2/9,-1.144925598
2006/2/10,0.433938513
2006/2/13,0.094167773
2006/2/14,0.474465151
2006/2/15,1.222079345
2006/2/16,-0.134770728
2006/2/17,1.302056597
2006/2/20,0.682106054
2006/2/21,1.981709254
2006/2/22,-0.163668007
2006/2/23,2.057388098
2006/2/24,0.640651586
2006/2/27,-2.665474388
2006/2/28,1.484273465
2006/3/1,-0.430250905
2006/3/2,-2.384887853
2006/3/3,-0.805222409
2006/3/6,-0.029572312
2006/3/7,-2.182910145
2006/3/8,0.484184175
2006/3/9,-3.183736323
2006/3/10,0.151747949
2006/3/13,1.715982984
2006/3/14,-1.757189238
2006/3/15,1.067603935
2006/3/16,0.494419977
2006/3/17,-0.61393802
2006/3/20,1.585985603
2006/3/21,0.816214945
2006/3/22,0.383067668
2006/3/23,-0.46581937
2006/3/24,-1.06778893
2006/3/27,1.293417512
2006/3/28,0.472361824
2006/3/29,0.945426578
2006/3/30,-0.378741659
2006/3/31,-0.302674012
2006/4/3,2.735708945
2006/4/4,1.798661003
2006/4/5,0.168314163
2006/4/6,-1.546527645
2006/4/7,-1.529387443
2006/4/10,2.322515775
2006/4/11,0.028135508
2006/4/12,-0.70596512
2006/4/13,-2.430621507
2006/4/14,3.041256919
2006/4/17,0.065400696
2006/4/18,-0.708160375
2006/4/19,-0.521206833
2006/4/20,-0.784631403
2006/4/21,1.698177548
2006/4/24,-1.997139417
2006/4/25,-1.567957642
2006/4/26,3.58290382
2006/4/27,-0.25444184
2006/4/28,6.449626324
2006/5/8,2.385481586
2006/5/9,1.987616113
2006/5/10,-1.217504118
2006/5/11,-1.415164239
2006/5/12,0.037654467
2006/5/15,0.416851123
2006/5/16,-0.331667255
2006/5/17,-0.069869819
2006/5/18,-2.060557615
2006/5/19,2.142253918
2006/5/22,-1.735916476
2006/5/23,-2.934317604
2006/5/24,2.411633283
2006/5/25,1.276233708
2006/5/26,2.181018841
2006/5/29,0.343430986
2006/5/30,-1.004892786
2006/5/31,-1.043074878
2006/6/1,0.874182576
2006/6/2,-1.488153031
2006/6/5,0.092149752
2006/6/6,-2.294369001
2006/6/7,-4.770989894
2006/6/8,0.590503745
2006/6/9,-1.869574759
2006/6/12,0.508010242
2006/6/13,-2.258591205
2006/6/14,-0.876115782
2006/6/15,0.489857617
2006/6/16,3.052257151
2006/6/19,-0.250336944
2006/6/20,0.985544846
2006/6/21,-0.187059978
2006/6/22,2.436487405
2006/6/23,0.062928499
2006/6/26,2.277383431
2006/6/27,-0.744254492
2006/6/28,-0.521577984
2006/6/29,2.616418389
2006/6/30,0.545946802
2006/7/3,4.276675636
2006/7/4,-1.050836603
2006/7/5,-4.105775234
2006/7/6,0.345544406
